"","Geneid","SYMBOL","NCBI_GeneID","Ensembl_GeneID","gene_biotype","Chr","Start","End","Strand","Length"
"gene-ARID2","gene-ARID2","ARID2",417804,"ENSGALG00010013878","protein_coding","NC_052532.1","30890702","30999137","+",8786
"gene-SCAF11","gene-SCAF11","SCAF11",417805,"ENSGALG00010013945","protein_coding","NC_052532.1","31005652","31047192","-",14728
"gene-SLC38A1","gene-SLC38A1","SLC38A1",417806,"ENSGALG00010013964","protein_coding","NC_052532.1","31072192","31110971","-",8238
"gene-SLC38A2","gene-SLC38A2","SLC38A2",417807,"ENSGALG00010013977","protein_coding","NC_052532.1","31126912","31141960","-",5077
"gene-SLC38A4","gene-SLC38A4","SLC38A4",417809,"ENSGALG00010014033","protein_coding","NC_052532.1","31242296","31274563","-",7454
"gene-AMIGO2","gene-AMIGO2","AMIGO2",417810,"ENSGALG00010014109","protein_coding","NC_052532.1","31391148","31400683","-",2680
"gene-RPAP3","gene-RPAP3","RPAP3",417811,"ENSGALG00010014134","protein_coding","NC_052532.1","31568896","31583839","-",3387
"gene-ATP23","gene-ATP23","ATP23",417812,"ENSGALG00010014151","protein_coding","NC_052532.1","31583963","31591160","+",1327
"gene-LRIG3","gene-LRIG3","LRIG3",417813,"ENSGALG00010014194","protein_coding","NC_052532.1","31863165","31906871","-",4719
"gene-SLC16A7","gene-SLC16A7","SLC16A7",417815,"ENSGALG00010014226","protein_coding","NC_052532.1","32176090","32263603","+",26641
"gene-FAM19A2","gene-FAM19A2","FAM19A2",771745,"ENSGALG00010011825","protein_coding","NC_052532.1","32829986","33012026","-",6316
"gene-USP15","gene-USP15","USP15",395644,"ENSGALG00010011682","protein_coding","NC_052532.1","33032615","33096457","+",5437
"gene-MON2","gene-MON2","MON2",417818,"ENSGALG00010013236","protein_coding","NC_052532.1","33110849","33188864","+",13903
"gene-PPM1H","gene-PPM1H","PPM1H",771760,"ENSGALG00010013252","protein_coding","NC_052532.1","33209294","33345376","-",6932
"gene-TMEM5","gene-TMEM5","TMEM5",417820,"ENSGALG00010012198","protein_coding","NC_052532.1","33522642","33534278","+",2135
"gene-SRGAP1","gene-SRGAP1","SRGAP1",417821,"ENSGALG00010012293","protein_coding","NC_052532.1","33567890","33708166","+",7956
"gene-KICS2","gene-KICS2","KICS2",417822,"","protein_coding","NC_052532.1","33722374","33730206","-",1929
"gene-RPL18A","gene-RPL18A","RPL18A",417823,"ENSGALG00010012988","protein_coding","NC_052532.1","33731030","33733802","-",614
"gene-XPOT","gene-XPOT","XPOT",417824,"ENSGALG00010013051","protein_coding","NC_052532.1","33733920","33759699","+",4029
"gene-TBK1","gene-TBK1","TBK1",417825,"ENSGALG00010013089","protein_coding","NC_052532.1","33765438","33792243","+",5538
"gene-RASSF3","gene-RASSF3","RASSF3",417828,"ENSGALG00010013129","protein_coding","NC_052532.1","33792850","33893948","+",8452
"gene-GNS","gene-GNS","GNS",417829,"ENSGALG00010013150","protein_coding","NC_052532.1","33900117","33920680","-",5285
"gene-TBC1D30","gene-TBC1D30","TBC1D30",417830,"ENSGALG00010013179","protein_coding","NC_052532.1","33921520","33971317","+",4927
"gene-WIF1","gene-WIF1","WIF1",417831,"ENSGALG00010012361","protein_coding","NC_052532.1","34009355","34051131","-",1867
"gene-LEMD3","gene-LEMD3","LEMD3",417832,"ENSGALG00010012372","protein_coding","NC_052532.1","34065043","34114122","+",4957
"gene-MSRB3","gene-MSRB3","MSRB3",417833,"ENSGALG00010012405","protein_coding","NC_052532.1","34114271","34198163","+",7127
"gene-HMGA2","gene-HMGA2","HMGA2",395851,"ENSGALG00010012062","protein_coding","NC_052532.1","34330768","34439314","+",14377
"gene-LLPH","gene-LLPH","LLPH",771027,"","protein_coding","NC_052532.1","34494432","34497109","-",841
"gene-TMBIM4","gene-TMBIM4","TMBIM4",771874,"ENSGALG00010012078","protein_coding","NC_052532.1","34497195","34505110","-",1781
"gene-HELB","gene-HELB","HELB",417836,"ENSGALG00010012090","protein_coding","NC_052532.1","34543269","34557236","+",4132
"gene-GRIP1","gene-GRIP1","GRIP1",427863,"ENSGALG00010012122","protein_coding","NC_052532.1","34557041","34864149","-",5696
"gene-CAND1","gene-CAND1","CAND1",417837,"ENSGALG00010011888","protein_coding","NC_052532.1","34907657","34936574","+",4209
"gene-DYRK2","gene-DYRK2","DYRK2",427864,"ENSGALG00010011926","protein_coding","NC_052532.1","35025845","35040503","+",6833
"gene-MDM1","gene-MDM1","MDM1",417839,"ENSGALG00010012508","protein_coding","NC_052532.1","35240452","35264663","-",3722
"gene-RAP1B","gene-RAP1B","RAP1B",417840,"ENSGALG00010012538","protein_coding","NC_052532.1","35339372","35373267","+",15317
"gene-NUP107","gene-NUP107","NUP107",101751988,"ENSGALG00010012600","protein_coding","NC_052532.1","35375012","35400313","+",3873
"gene-SLC35E3","gene-SLC35E3","SLC35E3",417842,"ENSGALG00010012662","protein_coding","NC_052532.1","35401045","35406567","+",3121
"gene-MDM2","gene-MDM2","MDM2",395609,"ENSGALG00010012683","protein_coding","NC_052532.1","35421927","35438703","+",7348
"gene-CPM","gene-CPM","CPM",417843,"ENSGALG00010012705","protein_coding","NC_052532.1","35439879","35471438","-",1743
"gene-CPSF6","gene-CPSF6","CPSF6",417844,"ENSGALG00010011962","protein_coding","NC_052532.1","35510319","35540241","+",14532
"gene-YEATS4","gene-YEATS4","YEATS4",771226,"ENSGALG00010011992","protein_coding","NC_052532.1","35553889","35556725","+",1171
"gene-FRS2","gene-FRS2","FRS2",417845,"ENSGALG00010013280","protein_coding","NC_052532.1","35573215","35625084","+",8562
"gene-CCT2","gene-CCT2","CCT2",417846,"ENSGALG00010011871","protein_coding","NC_052532.1","35628053","35640037","+",2225
"gene-RAB3IP","gene-RAB3IP","RAB3IP",417850,"ENSGALG00010012133","protein_coding","NC_052532.1","35688975","35718336","+",2344
"gene-CNOT2","gene-CNOT2","CNOT2",417851,"ENSGALG00010012172","protein_coding","NC_052532.1","35848900","35938533","+",37706
"gene-KCNMB4","gene-KCNMB4","KCNMB4",417852,"ENSGALG00010011841","protein_coding","NC_052532.1","35944915","35955888","+",3812
"gene-PTPRB","gene-PTPRB","PTPRB",417853,"ENSGALG00010013259","protein_coding","NC_052532.1","35965448","36031456","-",12713
"gene-PTPRR","gene-PTPRR","PTPRR",771985,"ENSGALG00010013268","protein_coding","NC_052532.1","36032134","36175793","-",3442
"gene-LGR5","gene-LGR5","LGR5",427867,"ENSGALG00010012004","protein_coding","NC_052532.1","36359750","36445717","+",4506
"gene-ZFC3H1","gene-ZFC3H1","ZFC3H1",417855,"ENSGALG00010011696","protein_coding","NC_052532.1","36462791","36500553","-",7007
"gene-TMEM19","gene-TMEM19","TMEM19",417856,"ENSGALG00010012734","protein_coding","NC_052532.1","36520768","36533819","+",1985
"gene-RAB21","gene-RAB21","RAB21",771383,"ENSGALG00010012738","protein_coding","NC_052532.1","36559764","36572114","+",2419
"gene-TBC1D15","gene-TBC1D15","TBC1D15",417857,"ENSGALG00010012778","protein_coding","NC_052532.1","36583185","36610280","+",3158
"gene-TPH2","gene-TPH2","TPH2",408026,"ENSGALG00010012834","protein_coding","NC_052532.1","36621602","36696119","+",4936
"gene-TRHDE","gene-TRHDE","TRHDE",427868,"ENSGALG00010012849","protein_coding","NC_052532.1","36745008","36965275","+",9694
"gene-KCNC2","gene-KCNC2","KCNC2",772061,"ENSGALG00010012870","protein_coding","NC_052532.1","37720345","37817661","-",5189
"gene-CAPS2","gene-CAPS2","CAPS2",417859,"ENSGALG00010012891","protein_coding","NC_052532.1","37828463","37863978","-",9923
"gene-CCDC107","gene-CCDC107","CCDC107",417860,"","protein_coding","NC_052532.1","37863621","37870981","-",1484
"gene-GLIPR1L","gene-GLIPR1L","GLIPR1L",417862,"ENSGALG00010012966","protein_coding","NC_052532.1","37893010","37900946","+",1617
"gene-KRR1","gene-KRR1","KRR1",417863,"ENSGALG00010012975","protein_coding","NC_052532.1","37904593","37910033","-",1641
"gene-PHLDA1","gene-PHLDA1","PHLDA1",107052797,"ENSGALG00010014238","protein_coding","NC_052532.1","38027876","38031782","-",3907
"gene-NAP1L1","gene-NAP1L1","NAP1L1",417864,"ENSGALG00010013389","protein_coding","NC_052532.1","38038675","38067791","-",7593
"gene-BBS10","gene-BBS10","BBS10",417865,"ENSGALG00010013400","protein_coding","NC_052532.1","38126163","38128767","-",2532
"gene-OSBPL8","gene-OSBPL8","OSBPL8",417866,"ENSGALG00010013444","protein_coding","NC_052532.1","38128448","38210885","-",12332
"gene-ZDHHC17","gene-ZDHHC17","ZDHHC17",417867,"ENSGALG00010013476","protein_coding","NC_052532.1","38261251","38327455","+",4950
"gene-CSRP2","gene-CSRP2","CSRP2",396128,"ENSGALG00010013516","protein_coding","NC_052532.1","38330943","38338776","-",1998
"gene-E2F7","gene-E2F7","E2F7",417868,"ENSGALG00010013538","protein_coding","NC_052532.1","38383735","38402631","-",5932
"gene-NAV3","gene-NAV3","NAV3",417869,"ENSGALG00010013648","protein_coding","NC_052532.1","38488926","39016857","+",11521
"gene-SYT1","gene-SYT1","SYT1",396083,"ENSGALG00010012026","protein_coding","NC_052532.1","39200929","39547338","+",4754
"gene-PAWR","gene-PAWR","PAWR",417870,"ENSGALG00010013283","protein_coding","NC_052532.1","39569524","39642582","-",5854
"gene-PPP1R12A","gene-PPP1R12A","PPP1R12A",396020,"ENSGALG00010013333","protein_coding","NC_052532.1","39654566","39778848","-",5711
"gene-RPS16","gene-RPS16","RPS16",417871,"ENSGALG00010013358","protein_coding","NC_052532.1","39846388","39849301","+",617
"gene-OTOGL","gene-OTOGL","OTOGL",772154,"ENSGALG00010013364","protein_coding","NC_052532.1","39849218","39950361","+",12922
"gene-PTPRQ","gene-PTPRQ","PTPRQ",772163,"ENSGALG00010012230","protein_coding","NC_052532.1","39954962","40078678","+",12650
"gene-MYF6","gene-MYF6","MYF6",417873,"ENSGALG00010012253","protein_coding","NC_052532.1","40093806","40095308","+",1170
"gene-MYF5","gene-MYF5","MYF5",395633,"ENSGALG00010012264","protein_coding","NC_052532.1","40098411","40099891","+",1066
"gene-LIN7A","gene-LIN7A","LIN7A",417874,"","protein_coding","NC_052532.1","40121815","40169798","-",2842
"gene-ACSS3","gene-ACSS3","ACSS3",417875,"ENSGALG00010012337","protein_coding","NC_052532.1","40212559","40290619","+",2999
"gene-PPFIA2","gene-PPFIA2","PPFIA2",417877,"ENSGALG00010012450","protein_coding","NC_052532.1","40292254","40593877","-",9930
"gene-CCDC59","gene-CCDC59","CCDC59",417878,"ENSGALG00010010017","protein_coding","NC_052532.1","40785536","40791794","-",2655
"gene-METTL25","gene-METTL25","METTL25",417879,"ENSGALG00010010042","protein_coding","NC_052532.1","40791864","40850771","+",5052
"gene-TMTC2","gene-TMTC2","TMTC2",417880,"ENSGALG00010011067","protein_coding","NC_052532.1","40911732","41153443","+",5538
"gene-SLC6A15","gene-SLC6A15","SLC6A15",417881,"ENSGALG00010011117","protein_coding","NC_052532.1","41691256","41727479","-",11795
"gene-LRRIQ1","gene-LRRIQ1","LRRIQ1",417882,"","protein_coding","NC_052532.1","41803760","41903181","+",5191
"gene-ALX1","gene-ALX1","ALX1",427871,"ENSGALG00010011243","protein_coding","NC_052532.1","41914801","41940816","+",7527
"gene-RASSF9","gene-RASSF9","RASSF9",427872,"ENSGALG00010011313","protein_coding","NC_052532.1","42181126","42210267","-",4371
"gene-NTS","gene-NTS","NTS",417883,"ENSGALG00010011352","protein_coding","NC_052532.1","42227832","42240400","+",1454
"gene-C12orf50","gene-C12orf50","C12orf50",417885,"ENSGALG00010011375","protein_coding","NC_052532.1","42833014","42848408","-",4225
"gene-C12orf29","gene-C12orf29","C12orf29",417886,"","protein_coding","NC_052532.1","42849503","42861294","+",6769
"gene-CEP290","gene-CEP290","CEP290",417887,"ENSGALG00010011407","protein_coding","NC_052532.1","42856289","42906945","-",9076
"gene-TMTC3","gene-TMTC3","TMTC3",417888,"ENSGALG00010011427","protein_coding","NC_052532.1","42907097","42965991","+",5501
"gene-KITLG","gene-KITLG","KITLG",396028,"ENSGALG00010011452","protein_coding","NC_052532.1","43031098","43086555","-",5481
"gene-DUSP6","gene-DUSP6","DUSP6",374272,"ENSGALG00010013226","protein_coding","NC_052532.1","43341540","43346237","-",2855
"gene-POC1B","gene-POC1B","POC1B",417889,"ENSGALG00010013276","protein_coding","NC_052532.1","43379786","43423602","-",3477
"gene-GALNT4","gene-GALNT4","GALNT4",112533346,"","protein_coding","NC_052532.1","43418251","43423114","-",4864
"gene-ATP2B1","gene-ATP2B1","ATP2B1",374244,"ENSGALG00010013285","protein_coding","NC_052532.1","43444923","43503324","-",10177
"gene-EPYC","gene-EPYC","EPYC",417890,"ENSGALG00010013298","protein_coding","NC_052532.1","43979377","44001958","-",3204
"gene-KERA","gene-KERA","KERA",373995,"ENSGALG00010013318","protein_coding","NC_052532.1","44022612","44032362","-",3742
"gene-LUM","gene-LUM","LUM",417891,"ENSGALG00010013332","protein_coding","NC_052532.1","44041583","44053528","-",2008
"gene-DCN","gene-DCN","DCN",417892,"ENSGALG00010013345","protein_coding","NC_052532.1","44073171","44112514","-",2638
"gene-BTG1","gene-BTG1","BTG1",396295,"ENSGALG00010013359","protein_coding","NC_052532.1","44451140","44453810","-",1677
"gene-PLEKHG7","gene-PLEKHG7","PLEKHG7",417895,"ENSGALG00010013377","protein_coding","NC_052532.1","44636250","44670548","+",6002
"gene-EEA1","gene-EEA1","EEA1",417896,"ENSGALG00010013440","protein_coding","NC_052532.1","44669570","44740967","-",10333
"gene-NUDT4","gene-NUDT4","NUDT4",417897,"","protein_coding","NC_052532.1","44867861","44888465","+",8561
"gene-UBE2N","gene-UBE2N","UBE2N",417898,"ENSGALG00010013551","protein_coding","NC_052532.1","44892722","44911773","-",4241
"gene-MRPL42","gene-MRPL42","MRPL42",417899,"ENSGALG00010010394","protein_coding","NC_052532.1","44921671","44928855","+",699
"gene-SOCS2","gene-SOCS2","SOCS2",395219,"ENSGALG00010010431","protein_coding","NC_052532.1","44944089","44945770","+",1682
"gene-LOC107052933","gene-LOC107052933","LOC107052933",107052933,"","protein_coding","NC_052532.1","44951205","44955341","-",3451
"gene-CRADD","gene-CRADD","CRADD",417900,"ENSGALG00010010466","protein_coding","NC_052532.1","44954169","45032103","+",5753
"gene-PLXNC1","gene-PLXNC1","PLXNC1",417901,"ENSGALG00010010512","protein_coding","NC_052532.1","45115102","45184717","+",7548
"gene-CEP83","gene-CEP83","CEP83",417904,"ENSGALG00010010573","protein_coding","NC_052532.1","45184719","45208867","-",3251
"gene-TMCC3","gene-TMCC3","TMCC3",417905,"ENSGALG00010009769","protein_coding","NC_052532.1","45211911","45338435","-",15771
"gene-SNAPC3","gene-SNAPC3","SNAPC3",768769,"ENSGALG00010013558","protein_coding","NC_052532.1","45293487","45294896","+",1410
"gene-NDUFA12","gene-NDUFA12","NDUFA12",417907,"ENSGALG00010009654","protein_coding","NC_052532.1","45360189","45367645","-",541
"gene-NR2C1","gene-NR2C1","NR2C1",373913,"ENSGALG00010011653","protein_coding","NC_052532.1","45369345","45420158","-",11305
"gene-FGD6","gene-FGD6","FGD6",417908,"ENSGALG00010011738","protein_coding","NC_052532.1","45422799","45490682","-",7627
"gene-VEZT","gene-VEZT","VEZT",417911,"ENSGALG00010011775","protein_coding","NC_052532.1","45490861","45564447","+",26057
"gene-METAP2","gene-METAP2","METAP2",417912,"ENSGALG00010011796","protein_coding","NC_052532.1","45587084","45601904","+",2820
"gene-USP44","gene-USP44","USP44",417913,"ENSGALG00010011819","protein_coding","NC_052532.1","45604444","45621762","-",6002
"gene-NTN4","gene-NTN4","NTN4",417914,"ENSGALG00010011859","protein_coding","NC_052532.1","45649593","45685920","-",5635
"gene-SNRPF","gene-SNRPF","SNRPF",417916,"ENSGALG00010011868","protein_coding","NC_052532.1","45717031","45718592","+",643
"gene-AMDHD1","gene-AMDHD1","AMDHD1",417917,"ENSGALG00010011876","protein_coding","NC_052532.1","45721300","45729255","+",1591
"gene-HAL","gene-HAL","HAL",378924,"ENSGALG00010011891","protein_coding","NC_052532.1","45730979","45743356","-",2744
"gene-LTA4H","gene-LTA4H","LTA4H",417918,"ENSGALG00010011903","protein_coding","NC_052532.1","45746374","45761052","-",2231
"gene-ELK3","gene-ELK3","ELK3",417919,"ENSGALG00010011929","protein_coding","NC_052532.1","45801720","45836090","+",3145
"gene-CDK17","gene-CDK17","CDK17",417920,"ENSGALG00010011953","protein_coding","NC_052532.1","45839182","45929809","-",29517
"gene-CFAP54","gene-CFAP54","CFAP54",417921,"ENSGALG00010011960","protein_coding","NC_052532.1","45953414","46057529","+",9748
"gene-NEDD1","gene-NEDD1","NEDD1",417922,"ENSGALG00010011979","protein_coding","NC_052532.1","46063096","46086545","+",4652
"gene-TMPO","gene-TMPO","TMPO",417923,"ENSGALG00010014294","protein_coding","NC_052532.1","46714722","46736918","+",4679
"gene-SLC25A3","gene-SLC25A3","SLC25A3",417924,"ENSGALG00010010588","protein_coding","NC_052532.1","46740825","46751565","+",4262
"gene-IKBIP","gene-IKBIP","IKBIP",417925,"ENSGALG00010010614","protein_coding","NC_052532.1","46754182","46763264","-",3050
"gene-APAF1","gene-APAF1","APAF1",417926,"ENSGALG00010010618","protein_coding","NC_052532.1","46763389","46790854","+",5385
"gene-ANKS1B","gene-ANKS1B","ANKS1B",417927,"","protein_coding","NC_052532.1","46801559","47214141","-",5887
"gene-UHRF1BP1L","gene-UHRF1BP1L","UHRF1BP1L",417929,"","protein_coding","NC_052532.1","47230089","47284354","-",6673
"gene-ACTR6","gene-ACTR6","ACTR6",395348,"ENSGALG00010011496","protein_coding","NC_052532.1","47288362","47297366","+",1497
"gene-SCYL2","gene-SCYL2","SCYL2",417930,"ENSGALG00010011529","protein_coding","NC_052532.1","47298552","47333498","+",8291
"gene-SLC17A8","gene-SLC17A8","SLC17A8",427877,"ENSGALG00010011553","protein_coding","NC_052532.1","47339077","47364808","+",1864
"gene-GAS2L3","gene-GAS2L3","GAS2L3",417931,"ENSGALG00010011574","protein_coding","NC_052532.1","47422004","47440560","+",5727
"gene-UTP20","gene-UTP20","UTP20",417933,"ENSGALG00010011663","protein_coding","NC_052532.1","47689981","47749830","+",8658
"gene-ARL1","gene-ARL1","ARL1",417934,"ENSGALG00010011692","protein_coding","NC_052532.1","47749907","47755347","-",1835
"gene-NUP205","gene-NUP205","NUP205",417935,"ENSGALG00010011702","protein_coding","NC_052532.1","47756778","47817547","-",6898
"gene-CNOT4","gene-CNOT4","CNOT4",417936,"ENSGALG00010010111","protein_coding","NC_052532.1","47817607","47888319","+",13685
"gene-LOC417937","gene-LOC417937","LOC417937",417937,"","protein_coding","NC_052532.1","47895374","47927511","+",6293
"gene-WDR91","gene-WDR91","WDR91",417939,"ENSGALG00010012016","protein_coding","NC_052532.1","47946464","47961455","+",2780
"gene-C7orf49","gene-C7orf49","C7orf49",100857684,"","protein_coding","NC_052532.1","47962473","47963721","+",1046
"gene-TMEM140","gene-TMEM140","TMEM140",417940,"ENSGALG00010012028","protein_coding","NC_052532.1","47964184","47968828","-",1773
"gene-AGBL3","gene-AGBL3","AGBL3",769745,"","protein_coding","NC_052532.1","47971438","47993709","-",3358
"gene-ARHGDIB","gene-ARHGDIB","ARHGDIB",417941,"ENSGALG00010012059","protein_coding","NC_052532.1","48028435","48036679","+",1682
"gene-MGP","gene-MGP","MGP",395912,"ENSGALG00010012083","protein_coding","NC_052532.1","48070036","48075358","+",686
"gene-ART4","gene-ART4","ART4",427879,"ENSGALG00010012098","protein_coding","NC_052532.1","48087190","48091759","+",2958
"gene-WBP11","gene-WBP11","WBP11",427880,"ENSGALG00010012127","protein_coding","NC_052532.1","48097567","48107118","+",2798
"gene-LOC427882","gene-LOC427882","LOC427882",427882,"","protein_coding","NC_052532.1","48110856","48111617","+",762
"gene-LOC121106462","gene-LOC121106462","LOC121106462",121106462,"","protein_coding","NC_052532.1","48112154","48113082","-",929
"gene-HIST1H4D","gene-HIST1H4D","HIST1H4D",427884,"","protein_coding","NC_052532.1","48116358","48116920","+",563
"gene-HIST1H46L2","gene-HIST1H46L2","HIST1H46L2",100858049,"","protein_coding","NC_052532.1","48119998","48120459","-",462
"gene-HIST1H2B8","gene-HIST1H2B8","HIST1H2B8",427886,"","protein_coding","NC_052532.1","48128472","48129293","+",822
"gene-HIST1H46","gene-HIST1H46","HIST1H46",417946,"","protein_coding","NC_052532.1","48136393","48137061","+",669
"gene-HIST2H4B","gene-HIST2H4B","HIST2H4B",417950,"","protein_coding","NC_052532.1","48137718","48138256","-",539
"gene-H2AFJ","gene-H2AFJ","H2AFJ",417947,"ENSGALG00010012248","protein_coding","NC_052532.1","48142211","48143081","-",871
"gene-HIST1H2B7","gene-HIST1H2B7","HIST1H2B7",417956,"ENSGALG00010014416","protein_coding","NC_052532.1","48143312","48144115","+",804
"gene-HIST1H110","gene-HIST1H110","HIST1H110",417948,"ENSGALG00010011989","protein_coding","NC_052532.1","48144812","48145722","-",911
"gene-HIST1H4B","gene-HIST1H4B","HIST1H4B",770005,"","protein_coding","NC_052532.1","48157205","48157605","+",401
"gene-HIST2H3D","gene-HIST2H3D","HIST2H3D",770022,"","protein_coding","NC_052532.1","48158789","48160690","+",1902
"gene-HIST1H3A","gene-HIST1H3A","HIST1H3A",768333,"","protein_coding","NC_052532.1","48162335","48162865","-",531
"gene-HIST1H4I","gene-HIST1H4I","HIST1H4I",100858319,"","protein_coding","NC_052532.1","48164255","48164908","-",654
"gene-HIST1H103","gene-HIST1H103","HIST1H103",100858354,"","protein_coding","NC_052532.1","48170665","48171371","-",707
"gene-HIST2H3A","gene-HIST2H3A","HIST2H3A",417953,"","protein_coding","NC_052532.1","48179157","48180110","-",954
"gene-HIST1H101","gene-HIST1H101","HIST1H101",417954,"ENSGALG00010012144","protein_coding","NC_052532.1","48192610","48194170","+",1561
"gene-HIST1H2BO","gene-HIST1H2BO","HIST1H2BO",100858607,"","protein_coding","NC_052532.1","48194984","48201765","+",535
"gene-HIST1H111L","gene-HIST1H111L","HIST1H111L",427892,"","protein_coding","NC_052532.1","48209366","48210135","+",770
"gene-HIST1H2A4L3","gene-HIST1H2A4L3","HIST1H2A4L3",417955,"","protein_coding","NC_052532.1","48210568","48211152","-",585
"gene-HIST1H2B5","gene-HIST1H2B5","HIST1H2B5",417957,"ENSGALG00010014375","protein_coding","NC_052532.1","48211409","48212102","+",694
"gene-LOC121106438","gene-LOC121106438","LOC121106438",121106438,"","protein_coding","NC_052532.1","48213250","48213757","+",508
"gene-LOC100857439","gene-LOC100857439","LOC100857439",100857439,"","protein_coding","NC_052532.1","48214137","48214691","-",555
"gene-HIST1H2A4L4","gene-HIST1H2A4L4","HIST1H2A4L4",427895,"","protein_coding","NC_052532.1","48216759","48217336","+",578
"gene-HIST1H111R","gene-HIST1H111R","HIST1H111R",427896,"","protein_coding","NC_052532.1","48217678","48218420","-",743
"gene-APOLD1","gene-APOLD1","APOLD1",769889,"ENSGALG00010009659","protein_coding","NC_052532.1","48231082","48236063","+",2670
"gene-DDX47","gene-DDX47","DDX47",417959,"ENSGALG00010009672","protein_coding","NC_052532.1","48241660","48250672","+",2618
"gene-HEBP1","gene-HEBP1","HEBP1",417961,"ENSGALG00010010995","protein_coding","NC_052532.1","48284734","48291397","-",2976
"gene-LOC417962","gene-LOC417962","LOC417962",417962,"","protein_coding","NC_052532.1","48293428","48300940","-",3805
"gene-FAM234B","gene-FAM234B","FAM234B",417963,"ENSGALG00010011027","protein_coding","NC_052532.1","48306429","48328270","+",4259
"gene-GSG1","gene-GSG1","GSG1",769937,"ENSGALG00010011038","protein_coding","NC_052532.1","48328212","48340862","-",2985
"gene-EMP1","gene-EMP1","EMP1",417964,"ENSGALG00010011080","protein_coding","NC_052532.1","48368635","48382892","+",2167
"gene-GRIN2B","gene-GRIN2B","GRIN2B",417965,"ENSGALG00010011090","protein_coding","NC_052532.1","48497335","48711912","-",18359
"gene-ATF7IP","gene-ATF7IP","ATF7IP",417966,"ENSGALG00010011144","protein_coding","NC_052532.1","48832387","48942133","+",25211
"gene-PLBD1","gene-PLBD1","PLBD1",417967,"ENSGALG00010011231","protein_coding","NC_052532.1","48943485","48981249","-",2837
"gene-TTC26","gene-TTC26","TTC26",417969,"ENSGALG00010010913","protein_coding","NC_052532.1","49041261","49087361","+",2933
"gene-UBN2","gene-UBN2","UBN2",417970,"ENSGALG00010010920","protein_coding","NC_052532.1","49098923","49155713","+",13303
"gene-FMC1","gene-FMC1","FMC1",107053781,"ENSGALG00010010929","protein_coding","NC_052532.1","49156579","49157071","+",401
"gene-LUC7L2","gene-LUC7L2","LUC7L2",417971,"ENSGALG00010010947","protein_coding","NC_052532.1","49159918","49191177","+",2276
"gene-GBE","gene-GBE","GBE",417972,"ENSGALG00010014321","protein_coding","NC_052532.1","49194936","49199802","-",3286
"gene-POLDIP3","gene-POLDIP3","POLDIP3",417974,"ENSGALG00010010960","protein_coding","NC_052532.1","49222208","49236099","+",3113
"gene-RRP7A","gene-RRP7A","RRP7A",417975,"ENSGALG00010010968","protein_coding","NC_052532.1","49239475","49243098","+",1289
"gene-SERHL","gene-SERHL","SERHL",417976,"ENSGALG00010010978","protein_coding","NC_052532.1","49243894","49252109","-",1976
"gene-SOCS1L","gene-SOCS1L","SOCS1L",417978,"ENSGALG00010010371","protein_coding","NC_052532.1","49266449","49277379","+",5124
"gene-TCF20","gene-TCF20","TCF20",417980,"ENSGALG00010010291","protein_coding","NC_052532.1","49315165","49430448","+",8353
"gene-CYP2D6","gene-CYP2D6","CYP2D6",417981,"ENSGALG00010010061","protein_coding","NC_052532.1","49447089","49456267","+",2806
"gene-NDUFA6","gene-NDUFA6","NDUFA6",427897,"ENSGALG00010009795","protein_coding","NC_052532.1","49457063","49458621","+",524
"gene-SMDT1","gene-SMDT1","SMDT1",770755,"ENSGALG00010009809","protein_coding","NC_052532.1","49459975","49461413","-",613
"gene-FAM109B","gene-FAM109B","FAM109B",427898,"","protein_coding","NC_052532.1","49461543","49466744","-",4669
"gene-NAGA","gene-NAGA","NAGA",396547,"ENSGALG00010009866","protein_coding","NC_052532.1","49466797","49471081","+",2433
"gene-WBP2NL","gene-WBP2NL","WBP2NL",770780,"ENSGALG00010009948","protein_coding","NC_052532.1","49471615","49479413","-",2928
"gene-SEPTIN3","gene-SEPTIN3","SEPTIN3",427899,"ENSGALG00010009995","protein_coding","NC_052532.1","49481248","49493996","-",2383
"gene-LOC100859314","gene-LOC100859314","LOC100859314",100859314,"","protein_coding","NC_052532.1","49495167","49499493","-",2557
"gene-CENPM","gene-CENPM","CENPM",417982,"ENSGALG00010010648","protein_coding","NC_052532.1","49500719","49507618","+",2315
"gene-SHISA8","gene-SHISA8","SHISA8",100857803,"ENSGALG00010010680","protein_coding","NC_052532.1","49525163","49531719","+",1858
"gene-SREBF2","gene-SREBF2","SREBF2",395304,"ENSGALG00010010706","protein_coding","NC_052532.1","49531774","49550270","-",4588
"gene-CCDC134","gene-CCDC134","CCDC134",417984,"ENSGALG00010010740","protein_coding","NC_052532.1","49550539","49554893","-",1880
"gene-MEI1","gene-MEI1","MEI1",417985,"ENSGALG00010010761","protein_coding","NC_052532.1","49555704","49592286","-",6682
"gene-SNU13","gene-SNU13","SNU13",417986,"","protein_coding","NC_052532.1","49592838","49594128","+",393
"gene-XRCC6","gene-XRCC6","XRCC6",395767,"ENSGALG00010010792","protein_coding","NC_052532.1","49597049","49610159","-",2189
"gene-DESI1","gene-DESI1","DESI1",770448,"ENSGALG00010010831","protein_coding","NC_052532.1","49610466","49623831","+",3353
"gene-PMM1","gene-PMM1","PMM1",417989,"ENSGALG00010010841","protein_coding","NC_052532.1","49625143","49630788","+",2529
